CHROM	POS
I	10031
I	13078
I	13117
I	19317
I	22257
I	32927
I	35007
I	44163
I	64044
I	67303
I	88096
I	95771
I	95773
I	95774
I	121024
I	129793
I	130380
I	130381
I	136834
I	171171
I	189916
I	200075
I	200231
I	203260
I	203395
I	206753
I	209520
I	213244
I	248956
I	262703
I	280420
I	282775
I	292439
I	298012
I	329120
I	350210
I	351046
I	351878
I	353897
I	373443
I	386007
I	388927
I	388955
I	391505
I	421233
I	422768
I	429528
I	429558
I	439704
I	463475
I	483307
I	490263
I	501533
I	513858
I	517676
I	517710
I	527330
I	529892
I	533864
I	539197
I	539277
I	573451
I	581803
I	636052
I	637322
I	637366
I	637477
I	667903
I	671800
I	674369
I	674449
I	675616
I	683950
I	685717
I	690573
I	691126
I	691148
I	693207
I	693220
I	700052
I	700111
I	700124
I	712048
I	718933
I	730442
I	731199
I	752916
I	752917
I	752918
I	752921
I	769140
I	775526
I	779890
I	779891
I	779897
I	809745
I	812068
I	816991
I	837982
I	864419
I	864429
I	873752
I	884889
I	891575
I	894998
I	900854
I	909437
I	909450
I	914694
I	919376
I	920346
I	990480
I	992268
I	992269
I	994086
I	994111
I	994298
I	994448
I	994506
I	994557
I	1003650
I	1009452
I	1009459
I	1009752
I	1009864
I	1015902
I	1018053
I	1021189
I	1033161
I	1033252
I	1038438
I	1041274
I	1058902
I	1066370
I	1073791
I	1073800
I	1089618
I	1092423
I	1092480
I	1110165
I	1110504
I	1113666
I	1128366
I	1138189
I	1139951
I	1140128
I	1142131
I	1166199
I	1169004
I	1169011
I	1169042
I	1170953
I	1183344
I	1185867
I	1200804
I	1233660
I	1233746
I	1241262
I	1242968
I	1256485
I	1269246
I	1269254
I	1269788
I	1269894
I	1272590
I	1272591
I	1279056
I	1287299
I	1287872
I	1287917
I	1296795
I	1310305
I	1310306
I	1310315
I	1328920
I	1328936
I	1341605
I	1344448
I	1367190
I	1394346
I	1394374
I	1399113
I	1403895
I	1405908
I	1405924
I	1405925
I	1415278
I	1431795
I	1437633
I	1457188
I	1457265
I	1460889
I	1466325
I	1466432
I	1466444
I	1466450
I	1466492
I	1467445
I	1467814
I	1476552
I	1476591
I	1482300
I	1482409
I	1482428
I	1499479
I	1503998
I	1504009
I	1504083
I	1504085
I	1509043
I	1520218
I	1523500
I	1526128
I	1528902
I	1528979
I	1541706
I	1541746
I	1546752
I	1552333
I	1552385
I	1552435
I	1555257
I	1556011
I	1556072
I	1582135
I	1582142
I	1582187
I	1582255
I	1586886
I	1586898
I	1586902
I	1586920
I	1586929
I	1590948
I	1597723
I	1600868
I	1611052
I	1611286
I	1626302
I	1636768
I	1649784
I	1660875
I	1660979
I	1666417
I	1667206
I	1667277
I	1667281
I	1667829
I	1667844
I	1673061
I	1673099
I	1673142
I	1673171
I	1673865
I	1685430
I	1691868
I	1691885
I	1701152
I	1701965
I	1702002
I	1702090
I	1746039
I	1752619
I	1754690
I	1754786
I	1817048
I	1817142
I	1829549
I	1831934
I	1858803
I	1868287
I	1895060
I	1897532
I	1908279
I	1908499
I	1908551
I	1912338
I	1916944
I	1917004
I	1917066
I	1929823
I	1938957
I	1939099
I	1941976
I	1942074
I	1955369
I	1958242
I	1970080
I	1981354
I	1983705
I	1983760
I	1985980
I	1993092
I	2000756
I	2010705
I	2026367
I	2055269
I	2055383
I	2059039
I	2059183
I	2060671
I	2060674
I	2071971
I	2093844
I	2108722
I	2111367
I	2111377
I	2111378
I	2119979
I	2120012
I	2135154
I	2135157
I	2135164
I	2135184
I	2168373
I	2188296
I	2188309
I	2188321
I	2202006
I	2204416
I	2204427
I	2204507
I	2208085
I	2208086
I	2208143
I	2208146
I	2210115
I	2211282
I	2211375
I	2211440
I	2216297
I	2237612
I	2237630
I	2237687
I	2262483
I	2262540
I	2268795
I	2268850
I	2287187
I	2310940
I	2314954
I	2315083
I	2315098
I	2325917
I	2334196
I	2334214
I	2334230
I	2334247
I	2370582
I	2370622
I	2372558
I	2372561
I	2372562
I	2386042
I	2388149
I	2388213
I	2389973
I	2389984
I	2390024
I	2390097
I	2407973
I	2425076
I	2425187
I	2429939
I	2435755
I	2435758
I	2443438
I	2443610
I	2446628
I	2446744
I	2451165
I	2452095
I	2454925
I	2478560
I	2488067
I	2488068
I	2489424
I	2502498
I	2504855
I	2525220
I	2525262
I	2525303
I	2530087
I	2530228
I	2535438
I	2535581
I	2535597
I	2541514
I	2541565
I	2541577
I	2549754
I	2549756
I	2549780
I	2549896
I	2549898
I	2549941
I	2552682
I	2552797
I	2553124
I	2555197
I	2566203
I	2566343
I	2567530
I	2568132
I	2570734
I	2570771
I	2570775
I	2570796
I	2585370
I	2592665
I	2593817
I	2593940
I	2594024
I	2594099
I	2621239
I	2623432
I	2624070
I	2625372
I	2628644
I	2632547
I	2632558
I	2643820
I	2643831
I	2648634
I	2657918
I	2667838
I	2685710
I	2685858
I	2685874
I	2685875
I	2685877
I	2696466
I	2706514
I	2719806
I	2725645
I	2747887
I	2752674
I	2758582
I	2775525
I	2789627
I	2789740
I	2798341
I	2811214
I	2813051
I	2826352
I	2831018
I	2831058
I	2845795
I	2846150
I	2846317
I	2850566
I	2850585
I	2862127
I	2881105
I	2881117
I	2883864
I	2883946
I	2898414
I	2912798
I	2912867
I	2915968
I	2920184
I	2920305
I	2920307
I	2921240
I	2921445
I	2948188
I	2948192
I	2949988
I	2953052
I	2954099
I	2980180
I	2982041
I	2982130
I	2986372
I	2986376
I	2989848
I	2994235
I	2994274
I	2996325
I	2996342
I	2996401
I	2996464
I	2999523
I	2999877
I	3012575
I	3012654
I	3012704
I	3023652
I	3030702
I	3031429
I	3035428
I	3039810
I	3039818
I	3040330
I	3051258
I	3055289
I	3055354
I	3058679
